Census Year,CountyFIPSCode,Economic Development Region,Workforce Development Area,County Name,County Code,Age Range,Gender,Total Population,No High School Diploma,High School Diploma Or Equivalent,Some College No Degree,Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,BachelorDegreeAndMore,Total Post-Secondary Degrees,latitude,longitude
01/01/2011 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Female,2664,129,1183,519,322,331,180,511,833,41.8205686,-75.802503
01/01/2013 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Female,2454,169,1085,385,279,364,172,536,815,41.8205686,-75.802503
01/01/2010 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Female,2730,153,1232,525,327,321,172,493,820,41.8205686,-75.802503
01/01/2014 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Female,2358,148,1019,405,278,349,159,508,786,41.8205686,-75.802503
01/01/2015 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Female,2063,141,687,421,249,408,157,565,814,41.8205686,-75.802503
01/01/2014 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Female,2094,168,727,428,228,393,150,543,771,41.8205686,-75.802503
01/01/2011 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Female,2040,173,777,464,165,314,147,461,626,41.8205686,-75.802503
01/01/2016 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Female,2043,157,632,430,265,414,145,559,824,41.8205686,-75.802503
01/01/2013 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Female,2067,157,782,426,195,367,140,507,702,41.8205686,-75.802503
01/01/2012 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Female,2055,196,719,478,161,364,137,501,662,41.8205686,-75.802503
01/01/2015 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Male,2389,293,1177,420,208,174,117,291,499,41.8205686,-75.802503
01/01/2010 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Female,2016,207,760,419,163,355,112,467,630,41.8205686,-75.802503
01/01/2015 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Male,2135,260,920,344,171,331,109,440,611,41.8205686,-75.802503
01/01/2016 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Male,2178,289,955,358,191,281,104,385,576,41.8205686,-75.802503
01/01/2014 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Male,2456,304,1254,420,173,203,102,305,478,41.8205686,-75.802503
01/01/2011 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Male,2701,350,1372,451,184,244,100,344,528,41.8205686,-75.802503
01/01/2013 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Male,2491,305,1248,421,207,212,98,310,517,41.8205686,-75.802503
01/01/2012 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Male,2601,335,1284,481,193,214,94,308,501,41.8205686,-75.802503
01/01/2016 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Male,2286,274,1102,409,223,192,86,278,501,41.8205686,-75.802503
01/01/2014 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Male,2132,285,963,331,177,294,82,376,553,41.8205686,-75.802503
01/01/2010 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,35 to 44 Years,Male,2821,447,1357,459,233,247,78,325,558,41.8205686,-75.802503
01/01/2013 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Male,2133,250,1037,320,167,298,61,359,526,41.8205686,-75.802503
01/01/2012 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Male,2092,244,947,333,219,300,49,349,568,41.8205686,-75.802503
01/01/2011 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Male,2054,248,951,334,212,260,49,309,521,41.8205686,-75.802503
01/01/2010 12:00:00 AM,42115,Northeast,Northern Tier WDA,Susquehanna,58,25 to 34 Years,Male,2024,260,966,305,229,227,37,264,493,41.8205686,-75.802503
01/01/2014 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Male,6491,454,3433,968,522,665,449,1114,1636,41.8167524,-79.2785816
01/01/2013 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Male,6462,470,3370,1006,524,676,416,1092,1616,41.8167524,-79.2785816
01/01/2015 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Male,6430,468,3456,889,549,660,408,1068,1617,41.8167524,-79.2785816
01/01/2010 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Female,6454,357,3152,1263,619,657,406,1063,1682,41.8167524,-79.2785816
01/01/2011 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Female,6515,330,3075,1351,630,725,404,1129,1759,41.8167524,-79.2785816
01/01/2016 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Male,6369,455,3322,924,607,671,390,1061,1668,41.8167524,-79.2785816
01/01/2011 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Male,6460,378,3409,1059,525,705,384,1089,1614,41.8167524,-79.2785816
01/01/2015 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Female,6357,309,3140,1077,743,708,380,1088,1831,41.8167524,-79.2785816
01/01/2013 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Female,6472,321,3115,1201,740,719,376,1095,1835,41.8167524,-79.2785816
01/01/2012 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Female,6525,334,3119,1317,696,689,370,1059,1755,41.8167524,-79.2785816
01/01/2010 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Male,6453,474,3323,1036,560,692,368,1060,1620,41.8167524,-79.2785816
01/01/2012 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Male,6472,436,3402,1030,542,700,362,1062,1604,41.8167524,-79.2785816
01/01/2016 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Female,6262,327,3019,965,812,784,355,1139,1951,41.8167524,-79.2785816
01/01/2014 12:00:00 AM,42123,Northwest,Northwest WDA,Warren,62,45 to 64 Years,Female,6401,313,3078,1173,738,753,346,1099,1837,41.8167524,-79.2785816
